update,eta,alpha,n_epoch,bs,L1,mean_reg,var_reg
SP,1,0.5,4,1,1,0.088,0.012
MLE_online,1,0.5,4,1,1,0.045,0.003
MLE,1,0.5,4,1,1,0.044,0.004
MLE_L1,1,0.5,4,1,1,0.045,0.005
SP,2,0.5,4,1,1,0.12,0.009
MLE_online,2,0.5,4,1,1,0.125,0.016
MLE,2,0.5,4,1,1,0.023,0.002
MLE_L1,2,0.5,4,1,1,0.055,0.004
SP,5,0.5,4,1,1,0.187,0.019
MLE_online,5,0.5,4,1,1,0.162,0.011
MLE,5,0.5,4,1,1,0.039,0.005
MLE_L1,5,0.5,4,1,1,0.079,0.01
SP,10,0.5,4,1,1,0.232,0.017
MLE_online,10,0.5,4,1,1,0.223,0.021
MLE,10,0.5,4,1,1,0.046,0.004
MLE_L1,10,0.5,4,1,1,0.114,0.013
SP,1,0.5,4,1,1,0.088,0.012
MLE_online,1,0.5,4,1,1,0.045,0.003
MLE,1,0.5,4,1,1,0.044,0.004
MLE_L1,1,0.5,4,1,1,0.045,0.005
SP,1,1,4,1,1,0.144,0.024
MLE_online,1,1,4,1,1,0.138,0.024
MLE,1,1,4,1,1,0.106,0.016
MLE_L1,1,1,4,1,1,0.096,0.013
SP,1,0,4,1,1,0.273,0.021
MLE_online,1,0,4,1,1,0.194,0.015
MLE,1,0,4,1,1,0.148,0.011
MLE_L1,1,0,4,1,1,0.129,0.018
MLE,1,0.5,4,1,1,0.031,0.002
MLE_L1,1,0.5,4,1,1,0.027,0.003
MLE,1,0.5,1,1,1,0.073,0.013
MLE_L1,1,0.5,1,1,1,0.089,0.01
MLE,1,0.5,2,1,1,0.055,0.007
MLE_L1,1,0.5,2,1,1,0.052,0.004
MLE,1,0.5,8,1,1,0.027,0.002
MLE_L1,1,0.5,8,1,1,0.045,0.005
MLE,1,0.5,4,1,1,0.031,0.002
MLE_L1,1,0.5,4,1,1,0.027,0.003
MLE,1,0.5,4,4,1,0.022,0.001
MLE_L1,1,0.5,4,4,1,0.023,0.001
MLE,1,0.5,4,8,1,0.026,0.002
MLE_L1,1,0.5,4,8,1,0.027,0.003
MLE_L1,1,0.5,4,1,1,0.034,0.003
MLE_L1,1,0.5,4,1,0.1,0.058,0.006
MLE_L1,1,0.5,4,1,10,0.501,0.023
SP,1,0.5,4,4,1,0.141,0.016
MLE_online,1,0.5,4,4,1,0.064,0.006
MLE,1,0.5,4,4,1,0.039,0.003
MLE_L1,1,0.5,4,4,1,0.036,0.003
SP,2,0.5,4,4,1,0.11,0.007
MLE_online,2,0.5,4,4,1,0.116,0.006
MLE,2,0.5,4,4,1,0.026,0.001
MLE_L1,2,0.5,4,4,1,0.041,0.004
MLE_L1,1,0.5,4,4,1,0.044,0.003
MLE_L1,1,0.5,4,4,0.5,0.019,0.001
,,,,,,,
SP,1,0.5,4,4,0.5,0.202,0.02
MLE_online,1,0.5,4,4,0.5,0.105,0.011
MLE,1,0.5,4,4,0.5,0.065,0.008
MLE_L1,1,0.5,4,4,0.5,0.073,0.009
SP,2,0.5,4,4,0.5,0.162,0.021
MLE_online,2,0.5,4,4,0.5,0.088,0.01
MLE,2,0.5,4,4,0.5,0.061,0.01
MLE_L1,2,0.5,4,4,0.5,0.063,0.01
,,,,,,,
alpha 1/t,,,,,,,
SP,2,0.5,4,4,0.5,0.218,0.027
MLE_online,2,0.5,4,4,0.5,0.29,0.021
MLE,2,0.5,4,4,0.5,0.156,0.008
MLE_L1,2,0.5,4,4,0.5,0.101,0.008
,,,,,,,
alpha 1/sqrt t,,,,,,,
SP,2,0.5,4,4,0.5,0.25,0.024
MLE_online,2,0.5,4,4,0.5,0.244,0.023
MLE,2,0.5,4,4,0.5,0.114,0.01
MLE_L1,2,0.5,4,4,0.5,0.084,0.007
